id,name,description,student_ID
1,"Business Module","Summarize main reasons why businesses fail",1
2,"Business Module","Summarize main reasons why businesses fail",2
3,"Business Module","Summarize main reasons why businesses fail",3
4,"Business Module","Summarize main reasons why businesses fail",4
5,"Business Module","Summarize main reasons why businesses fail",5
6,"Business Module","Summarize main reasons why businesses fail",6
7,"Business Module","Summarize main reasons why businesses fail",7
8,"Business Module","Summarize main reasons why businesses fail",8
9,"Business Module","Summarize main reasons why businesses fail",9
10,"Business Module","Summarize main reasons why businesses fail",10
11,"Accounting exercise","Complete online accounting tutorial and submit results",1
12,"Accounting exercise","Complete online accounting tutorial and submit results",2
13,"Accounting exercise","Complete online accounting tutorial and submit results",3
14,"Accounting exercise","Complete online accounting tutorial and submit results",4
15,"Accounting exercise","Complete online accounting tutorial and submit results",5
16,"Accounting exercise","Complete online accounting tutorial and submit results",6
17,"Accounting exercise","Complete online accounting tutorial and submit results",7
18,"Accounting exercise","Complete online accounting tutorial and submit results",8
19,"Accounting exercise","Complete online accounting tutorial and submit results",9
20,"Accounting exercise","Complete online accounting tutorial and submit results",10
21,"Stock Market Essay","Discuss the major pros and cons of the stock market",1
22,"Stock Market Essay","Discuss the major pros and cons of the stock market",2
23,"Stock Market Essay","Discuss the major pros and cons of the stock market",3
24,"Stock Market Essay","Discuss the major pros and cons of the stock market",4
25,"Stock Market Essay","Discuss the major pros and cons of the stock market",5
26,"Stock Market Essay","Discuss the major pros and cons of the stock market",6
27,"Stock Market Essay","Discuss the major pros and cons of the stock market",7
28,"Stock Market Essay","Discuss the major pros and cons of the stock market",8
29,"Stock Market Essay","Discuss the major pros and cons of the stock market",9
30,"Stock Market Essay","Discuss the major pros and cons of the stock market",10
31,"Research paper","Conflict management in a work team",1
32,"Research paper","Conflict management in a work team",2
33,"Research paper","Conflict management in a work team",3
34,"Research paper","Conflict management in a work team",4
35,"Research paper","Conflict management in a work team",5
36,"Research paper","Conflict management in a work team",6
37,"Research paper","Conflict management in a work team",7
38,"Research paper","Conflict management in a work team",8
39,"Research paper","Conflict management in a work team",10
40,"Research paper","Conflict management in a work team",9
